point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
116,375,17,0,4369,1175000,1175000,181338112,2767,2767,1175000,0,0
117,376,17,0,4369,1185000,1185000,181862400,2775,2775,1185000,0,0
118,377,17,0,4369,1190000,1190000,182321152,2782,2782,1190000,0,0
119,378,17,0,4369,1195000,1195000,182845440,2790,2790,1195000,0,0
120,379,17,0,4369,1200000,1200000,183304192,2797,2797,1200000,0,0
121,380,17,0,4369,1210000,1210000,183828480,2805,2805,1210000,0,0
122,381,17,0,4369,1215000,1215000,184287232,2812,2812,1215000,0,0
123,382,17,0,4369,1220000,1220000,184811520,2820,2820,1220000,0,0
124,383,17,0,4369,1225000,1225000,185270272,2827,2827,1225000,0,0
125,384,17,0,4369,1235000,1235000,185794560,2835,2835,1235000,0,0
126,385,17,0,4369,1240000,1240000,186253312,2842,2842,1240000,0,0
