point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
112,239,17,0,4369,1150000,1151000,174981120,2715,2715,1151000,45000,1000
113,240,17,0,4369,1160000,1161000,175439872,2722,2722,1161000,45000,1000
114,241,17,0,4369,1165000,1166000,176422912,2737,2737,1166000,45000,1000
115,242,17,0,4369,1170000,1171000,176947200,2745,2745,1171000,45000,1000
116,243,17,0,4369,1175000,1176000,177405952,2752,2752,1176000,45000,1000
117,244,17,0,4369,1185000,1186000,177930240,2760,2760,1186000,45000,1000
118,245,17,0,4369,1190000,1191000,178388992,2767,2767,1191000,45000,1000
119,246,17,0,4369,1195000,1196000,178388992,2767,2767,1196000,45000,1000
120,247,17,0,4369,1200000,1201000,178913280,2775,2775,1201000,45000,1000
121,248,17,0,4369,1210000,1211000,179372032,2782,2782,1211000,45000,1000
122,249,17,0,4369,1215000,1216000,179896320,2790,2790,1216000,45000,1000
123,250,17,0,4369,1220000,1221000,180355072,2797,2797,1221000,45000,1000
124,251,17,0,4369,1225000,1226000,180879360,2805,2805,1226000,45000,1000
125,252,17,0,4369,1235000,1236000,180879360,2805,2805,1236000,45000,1000
126,253,17,0,4369,1240000,1241000,181338112,2812,2812,1241000,45000,1000
