point,flat_index,control_type,control_freq_offset_khz,status_type,source_voltage_uv,effective_voltage_uv,base_freq_16_16_mhz,effective_freq_mhz,effective_freq_dup_mhz,effective_volt_dup_uv,total_freq_offset_khz,total_volt_offset_uv
95,95,17,0,4369,1045000,1046000,189726720,3240,3240,1046000,345000,1000
96,96,17,0,4369,1050000,1051000,190709760,3255,3255,1051000,345000,1000
97,97,17,0,4369,1060000,1061000,191168512,3262,3262,1061000,345000,1000
98,98,17,0,4369,1065000,1066000,192151552,3277,3277,1066000,345000,1000
99,99,17,0,4369,1070000,1071000,193134592,3277,3277,1071000,330000,1000
100,100,17,0,4369,1075000,1076000,193658880,3307,3307,1076000,352000,1000
101,101,17,0,4369,1085000,1086000,194641920,3315,3315,1086000,345000,1000
102,102,17,0,4369,1090000,1091000,195624960,3330,3330,1091000,345000,1000
103,103,17,0,4369,1095000,1096000,196083712,3330,3330,1096000,337000,1000
104,104,17,0,4369,1100000,1101000,197066752,3330,3330,1101000,322000,1000
105,105,17,0,4369,1110000,1111000,197591040,3330,3330,1111000,315000,1000
106,106,17,0,4369,1115000,1116000,198574080,3330,3330,1116000,300000,1000
107,107,17,0,4369,1120000,1121000,199032832,3330,3330,1121000,292000,1000
108,108,17,0,4369,1125000,1126000,200015872,3330,3330,1126000,277000,1000
109,109,17,0,4369,1135000,1136000,200540160,3330,3330,1136000,270000,1000
110,110,17,0,4369,1140000,1141000,200998912,3330,3330,1141000,262000,1000
111,111,17,0,4369,1145000,1146000,201981952,3330,3330,1146000,247000,1000
112,112,17,0,4369,1150000,1151000,202506240,3330,3330,1151000,240000,1000
113,113,17,0,4369,1160000,1161000,203489280,3330,3330,1161000,225000,1000
114,114,17,0,4369,1165000,1166000,203948032,3330,3330,1166000,217000,1000
115,115,17,0,4369,1170000,1171000,204472320,3330,3330,1171000,210000,1000
116,116,17,0,4369,1175000,1176000,205455360,3330,3330,1176000,195000,1000
117,117,17,0,4369,1185000,1186000,205914112,3330,3330,1186000,187000,1000
118,118,17,0,4369,1190000,1191000,206438400,3330,3330,1191000,180000,1000
119,119,17,0,4369,1195000,1196000,206897152,3330,3330,1196000,172000,1000
120,120,17,0,4369,1200000,1201000,207880192,3330,3330,1201000,157000,1000
121,121,17,0,4369,1210000,1211000,208404480,3330,3330,1211000,150000,1000
122,122,17,0,4369,1215000,1216000,208863232,3330,3330,1216000,142000,1000
123,123,17,0,4369,1220000,1221000,209387520,3330,3330,1221000,135000,1000
124,124,17,0,4369,1225000,1226000,209846272,3330,3330,1226000,127000,1000
125,125,17,0,4369,1235000,1236000,210829312,3330,3330,1236000,112000,1000
126,126,17,0,4369,1240000,1241000,211353600,3337,3337,1241000,112000,1000
