point,record_offset,type_marker,effective_voltage_uv,effective_freq_mhz,base_freq_fixed_16_16,base_freq_mhz,source_voltage_uv,effective_freq_dup_mhz,effective_voltage_dup_uv,freq_tuning_offset_khz,voltage_tuning_offset_uv
105,35480,4369,1110000,2655,171048960,2610,1110000,2655,1110000,45000,0
106,35632,4369,1115000,2662,171507712,2617,1115000,2662,1115000,45000,0
107,35784,4369,1120000,2670,172032000,2625,1120000,2670,1120000,45000,0
108,35936,4369,1125000,2685,173015040,2640,1125000,2685,1125000,45000,0
109,36088,4369,1135000,2692,173473792,2647,1135000,2692,1135000,45000,0
110,36240,4369,1140000,2700,173998080,2655,1140000,2700,1140000,45000,0
111,36392,4369,1145000,2707,174456832,2662,1145000,2707,1145000,45000,0
112,36544,4369,1150000,2715,174981120,2670,1150000,2715,1150000,45000,0
113,36696,4369,1160000,2722,175439872,2677,1160000,2722,1160000,45000,0
114,36848,4369,1165000,2737,176422912,2692,1165000,2737,1165000,45000,0
115,37000,4369,1170000,2745,176947200,2700,1170000,2745,1170000,45000,0
116,37152,4369,1175000,2752,177405952,2707,1175000,2752,1175000,45000,0
117,37304,4369,1185000,2760,177930240,2715,1185000,2760,1185000,45000,0
118,37456,4369,1190000,2767,178388992,2722,1190000,2767,1190000,45000,0
119,37608,4369,1195000,2767,178388992,2722,1195000,2767,1195000,45000,0
120,37760,4369,1200000,2775,178913280,2730,1200000,2775,1200000,45000,0
121,37912,4369,1210000,2782,179372032,2737,1210000,2782,1210000,45000,0
122,38064,4369,1215000,2790,179896320,2745,1215000,2790,1215000,45000,0
123,38216,4369,1220000,2797,180355072,2752,1220000,2797,1220000,45000,0
124,38368,4369,1225000,2805,180879360,2760,1225000,2805,1225000,45000,0
125,38520,4369,1235000,2805,180879360,2760,1235000,2805,1235000,45000,0
126,38672,4369,1240000,2812,181338112,2767,1240000,2812,1240000,45000,0
